2017-11-9-10-39-25    UserID [5]    Transaction Complete 
2017-11-9-10-39-25    UserID [9]    Transaction Complete 
2017-11-9-10-39-25    UserID [1]    Transaction Complete 
2017-11-9-10-39-25    UserID [0]    Transaction Complete 
2017-11-9-10-39-25    UserID [2]    Transaction Complete 
2017-11-9-10-39-25    UserID [6]    Transaction Complete 
2017-11-9-10-39-25    UserID [15]    Transaction Complete 
2017-11-9-10-39-25    UserID [12]    Transaction Complete 
2017-11-9-10-39-25    UserID [16]    Transaction Complete 
2017-11-9-10-39-25    UserID [17]    Transaction Complete 
2017-11-9-10-39-25    UserID [8]    Transaction Complete 
2017-11-9-10-39-25    UserID [14]    Transaction Complete 
2017-11-9-10-39-25    UserID [13]    Transaction Complete 
2017-11-9-10-39-25    UserID [7]    Transaction Complete 
2017-11-9-10-39-25    UserID [18]    Transaction Complete 
2017-11-9-10-39-25    UserID [11]    Transaction Complete 
2017-11-9-10-39-25    UserID [10]    Transaction Complete 
2017-11-9-10-39-25    UserID [3]    Transaction Complete 
2017-11-9-10-39-25    UserID [19]    Transaction Complete 
2017-11-9-10-39-25    UserID [4]    Transaction Complete 
2017-11-9-10-39-26    UserID [1]    Transaction Complete 
2017-11-9-10-39-26    UserID [17]    Transaction Complete 
2017-11-9-10-39-26    UserID [9]    Transaction Complete 
2017-11-9-10-39-26    UserID [18]    Transaction Complete 
2017-11-9-10-39-26    UserID [2]    Transaction Complete 
2017-11-9-10-39-26    UserID [7]    Transaction Complete 
2017-11-9-10-39-26    UserID [16]    Transaction Complete 
2017-11-9-10-39-26    UserID [14]    Transaction Complete 
2017-11-9-10-39-26    UserID [6]    Transaction Complete 
2017-11-9-10-39-26    UserID [0]    Transaction Complete 
2017-11-9-10-39-26    UserID [5]    Transaction Complete 
2017-11-9-10-39-26    UserID [13]    Transaction Complete 
2017-11-9-10-39-26    UserID [11]    Transaction Complete 
2017-11-9-10-39-26    UserID [15]    Transaction Complete 
2017-11-9-10-39-26    UserID [3]    Transaction Complete 
2017-11-9-10-39-26    UserID [10]    Transaction Complete 
2017-11-9-10-39-26    UserID [12]    Transaction Complete 
2017-11-9-10-39-26    UserID [4]    Transaction Complete 
2017-11-9-10-39-26    UserID [19]    Transaction Complete 
2017-11-9-10-39-26    UserID [8]    Transaction Complete 
2017-11-9-10-39-26    UserID [1]    Transaction Complete 
2017-11-9-10-39-26    UserID [7]    Transaction Complete 
2017-11-9-10-39-26    UserID [17]    Transaction Complete 
2017-11-9-10-39-26    UserID [18]    Transaction Complete 
2017-11-9-10-39-26    UserID [9]    Transaction Complete 
2017-11-9-10-39-26    UserID [2]    Transaction Complete 
2017-11-9-10-39-26    UserID [16]    Transaction Complete 
2017-11-9-10-39-26    UserID [6]    Transaction Complete 
2017-11-9-10-39-26    UserID [14]    Transaction Complete 
2017-11-9-10-39-26    UserID [5]    Transaction Complete 
2017-11-9-10-39-26    UserID [13]    Transaction Complete 
2017-11-9-10-39-26    UserID [11]    Transaction Complete 
2017-11-9-10-39-26    UserID [4]    Transaction Complete 
2017-11-9-10-39-26    UserID [8]    Transaction Complete 
2017-11-9-10-39-26    UserID [19]    Transaction Complete 
2017-11-9-10-39-26    UserID [10]    Transaction Complete 
2017-11-9-10-39-26    UserID [12]    Transaction Complete 
2017-11-9-10-39-26    UserID [0]    Transaction Complete 
2017-11-9-10-39-26    UserID [3]    Transaction Complete 
2017-11-9-10-39-26    UserID [15]    Transaction Complete 
2017-11-9-10-39-26    UserID [1]    Transaction Complete 
2017-11-9-10-39-26    UserID [7]    Transaction Complete 
2017-11-9-10-39-27    UserID [17]    Transaction Complete 
2017-11-9-10-39-27    UserID [18]    Transaction Complete 
2017-11-9-10-39-27    UserID [9]    Transaction Complete 
2017-11-9-10-39-27    UserID [13]    Transaction Complete 
2017-11-9-10-39-27    UserID [2]    Transaction Complete 
2017-11-9-10-39-27    UserID [0]    Transaction Complete 
2017-11-9-10-39-27    UserID [6]    Transaction Complete 
